id,modulo,rota,stub,uc,rf,prioridade,tipo,titulo_pt,titulo_en,passos_pt,passos_en,criterio_pt,criterio_en,status,verificado,execucao,falha,testado_por,data_teste,devolucoes,ultima_devolucao,referencia,observacoes
QA-AUT-01,news-auth,/entrar,features/login/login.component.ts,UC-01,RF-USER-01,alta,funcional,Login redireciona ao B2C e retorna autenticado,Login redirects to B2C and returns authenticated,,,Usuário sem sessão é levado ao fluxo de autenticação e volta ao produto já logado,A user with no session is taken to the authentication flow and returns to the product already signed in,nao_testado,nao,,,,,0,,,
QA-AUT-02,news-auth,/selecionar-emissora,features/seletor-tenant/seletor-tenant.component.ts,UC-01,RF-USER-01,alta,funcional,Seletor de emissora lista apenas emissoras ativas do usuário,Station selector lists only the user's active stations,,,Emissora inativa ou vínculo inativo não aparece na lista,An inactive station or inactive membership does not appear in the list,nao_testado,nao,,,,,0,,,
QA-AUT-03,news-auth,/selecionar-emissora,features/seletor-tenant/seletor-tenant.component.ts,UC-01,RF-USER-01,media,funcional,"Usuário com uma única emissora entra direto, sem seletor","A user with a single station goes straight in, with no selector",,,Não há passo extra quando existe apenas um vínculo ativo,There is no extra step when only one active membership exists,nao_testado,nao,,,,,0,,,
QA-AUT-04,news-auth,/:tenant,core/state/tenant-context.state.ts,UC-02,RF-USER-02,alta,funcional,Trocar emissora reseta o estado e recarrega os dados da nova,Switching station resets state and reloads the new station's data,,,Nenhum dado da emissora anterior permanece em tela após a troca,No data from the previous station remains on screen after the switch,nao_testado,nao,,,,,0,,,
QA-AUT-05,news-auth,/:tenant,core/guards,UC-01,RF-USER-01,alta,permissao,Rota sem sessão redireciona para o login,A route without a session redirects to login,,,Acesso direto por URL a uma tela interna sem sessão cai no login,Direct URL access to an internal screen without a session lands on login,nao_testado,nao,,,,,0,,,
QA-AUT-06,news-auth,/:tenant,core/guards,UC-01,RF-USER-01,alta,permissao,Emissora da URL divergente do vínculo bloqueia o acesso,A URL station that does not match the membership blocks access,,,Trocar o slug da emissora na URL não dá acesso a dados de outra emissora,Changing the station slug in the URL does not grant access to another station's data,nao_testado,nao,,,,,0,,,
QA-AUT-07,news-auth,/sem-acesso,features/sem-acesso/sem-acesso.component.ts,UC-01,RF-USER-01,media,funcional,Tela de sem acesso orienta o usuário sem vínculo ativo,The no-access screen guides a user with no active membership,,,"Mensagem clara com o caminho para contatar o administrador, em vez de erro","A clear message with the path to contact the administrator, instead of an error",nao_testado,nao,,,,,0,,,
QA-SHL-01,news-shell,/:tenant,core/shell/app-sidebar.component.ts,,,alta,interface,Menu lateral lista as telas do módulo e destaca a ativa,Side menu lists the module's screens and highlights the active one,,,Todo item do menu navega para a tela correta e a tela atual fica destacada,Every menu item navigates to the right screen and the current screen stays highlighted,nao_testado,nao,,,,,0,,,
QA-SHL-02,news-shell,/:tenant,core/shell/app-topbar.component.ts,,,media,interface,"Barra superior com emissora, busca, sino e usuário","Top bar with station, search, bell and user",,,Todos os controles da barra superior respondem e abrem o painel correspondente,Every top bar control responds and opens the matching panel,nao_testado,nao,,,,,0,,,
QA-SHL-03,news-shell,/:tenant,core/shell/command-palette.component.ts,,,media,funcional,Paleta de comandos abre por atalho e navega para telas e registros,Command palette opens by shortcut and navigates to screens and records,,,O atalho abre a paleta em qualquer tela e a seleção leva ao destino,The shortcut opens the palette on any screen and the selection reaches the target,nao_testado,nao,,,,,0,,,
