id,modulo,rota,stub,uc,rf,prioridade,tipo,titulo_pt,titulo_en,passos_pt,passos_en,criterio_pt,criterio_en,status,verificado,execucao,falha,testado_por,data_teste,devolucoes,ultima_devolucao,referencia,observacoes
QA-001,aud-acesso,,,,,alta,funcional,Acesso e estação,Access and station,Entrar com operador autorizado; abrir Audience; trocar A → B → A e recarregar uma URL interna.,Sign in with an authorized operator; open Audience; switch A → B → A and reload an internal URL.,Dados e ações correspondem à estação selecionada; nenhuma lista antiga permanece após a troca.,Data and actions match the selected station; no stale list remains after the switch.,liberada,sim,"- Ao mudar a estação, também é alterada a base que contém os registros de sorteios, promoções e atendimentos vinculados a ela.",,Alisson Delatim,2026-09-25,0,,,
QA-002,aud-acesso,,,,,alta,permissao,Permissões,Permissions,"Com perfil de leitura, abrir cadastros, privacidade, exportações e URL de edição; repetir uma escrita pela API.","With a read-only profile, open records, privacy, exports and the edit URL; repeat a write through the API.",Leitura permitida conforme papel; ações e endpoints de escrita negados sem o privilégio. Menu oculto sozinho não prova proteção.,Read access allowed according to role; write actions and endpoints denied without the privilege. A hidden menu alone does not prove protection.,devolvida,sim,,- Mesmo com permissão com somente leitura é possível editar campos do cadastro de ouvinte e fortemente recomendo deixar todos os campos desabilitados para o usuário não fazer nenhuma mudança.,Alisson Delatim,2026-09-25,2,2026-09-25,"Catálogo anterior: QA-AUD-87, QA-AUD-128",
QA-003,aud-acesso,,,,,alta,permissao,Isolamento,Isolation,"Com apoio técnico, usar IDs de outra estação/tenant em consultas, alteração, export e hubs, inclusive com conta admin.","With technical support, use IDs from another station/tenant in queries, updates, export and hubs, including with an admin account.",Nenhum dado ou evento cruza o escopo; estação inexistente no tenant é recusada.,No data or event crosses the scope; a station that does not exist in the tenant is rejected.,nao_aplicavel,sim,,Desenvolvedor analisará,Alisson Delatim,2026-09-25,0,,Catálogo anterior: QA-AUD-129,
QA-004,aud-acesso,,,,,media,funcional,Configuração persistente,Persistent configuration,"Alterar campos obrigatórios de ouvinte, faixas etárias, Top N e dias de atividade; salvar e reabrir. Testar limites inválidos.","Change required listener fields, age ranges, Top N and activity days; save and reopen. Test invalid limits.",Valores válidos persistem; inválidos apresentam mensagem; alterações afetam os consumidores correspondentes.,Valid values persist; invalid ones show a message; changes affect the corresponding consumers.,devolvida,sim,- Na alteração dos campos obrigatórios está funcionando corretamente.,"- Marcando o parâmetro ""Bloquear o salvamento quando faltar um campo obrigatório."" a regra continua validando os campos selecionado.",Alisson Delatim,2026-09-25,1,2026-09-25,Catálogo anterior: QA-AUD-123,QA-AUD-123 (catálogo anterior): Confirmado net-new no plano; hoje só há campos fixos. Não localizado na varredura de 2026-09-09
QA-005,aud-acesso,,,,,media,funcional,Programas e grade,Programs and schedule,"Criar/editar programa com locutor e grade; testar início/fim, sobreposição, inativação e configurações de auto-vínculo/moderação.","Create/edit a program with announcer and schedule; test start/end, overlap, deactivation and auto-link/moderation settings.",Grade e flags persistem e governam os casos de participação abaixo.,Schedule and flags persist and govern the participation cases below.,liberada,sim,"- Criado, editado programa.

- Vinculado e mudado o locutor dentro do programa.

- Feito a auto-vinculação na tela de atendimento.

- Inativado o programa.

- Após a inativação do programa  a auto-vinculação na tela de atendimento não bus mais o programa inativo.",,Alisson Delatim,2026-09-25,0,,,
QA-006,aud-acesso,,,,,media,funcional,Cadastros de apoio,Supporting records,"Criar, editar, pesquisar e inativar locutor, etiqueta, promoção e brinde; reabrir os formulários.","Create, edit, search and deactivate announcer, tag, promotion and prize; reopen the forms.","Campos, filtros e vínculos persistem; exclusão/inativação respeita dependências e não deixa referência inválida.","Fields, filters and links persist; deletion/deactivation respects dependencies and leaves no invalid reference.",liberada,sim,"- Criado, editado, pesquisado e inativado/excluído locutor funcionou normalmente.

",,Alisson Delatim,2026-09-25,0,,,
QA-AUD-102,aud-acesso,/:tenant/audience/programs/edit/:id,Frontends/InfoRadio.Front.React/src/features/audience/program,E16,Onda 2,media,dados,Grade de horários do programa aceita várias janelas,The program schedule accepts several windows,,,"Um programa pode ter mais de uma janela de dias e horários, e todas valem","A program can have more than one window of days and times, and all of them count",nao_testado,nao,,,,,0,,,
QA-AUD-119,aud-acesso,/:tenant/audience/configuration,Frontends/InfoRadio.Front.React/src/features/audience/configuration,E6,Onda 2,media,funcional,Configuração da emissora reúne as políticas em um lugar,Station settings gather the policies in one place,,,"Atendimento, sorteio, retenção e consentimento são configurados na mesma tela","Service desk, draw, retention and consent are configured on the same screen",nao_testado,nao,,,,,0,,,
QA-AUD-121,aud-acesso,/:tenant/audience/configuration,Frontends/InfoRadio.Front.React/src/features/audience/configuration,E8,Onda 1,media,funcional,Dias de bloqueio automático do ganhador são configuráveis,The automatic winner block period is configurable,,,Alterar os dias muda o bloqueio aplicado aos ganhadores seguintes,Changing the days changes the block applied to subsequent winners,nao_testado,nao,,,,,0,,,
QA-007,aud-ouvintes,,,E1; ANG-01/02; AUD-08/09,,alta,funcional,Cadastro completo,Full registration,"Cadastrar ouvinte com telefone, e-mail, cidade, bairro, perfil, nota e qualificação; editar pela ficha e painel.","Register a listener with phone, e-mail, city, neighborhood, profile, note and qualification; edit through the listener record and panel.",Valores persistem; obrigatoriedade configurada é respeitada; completude acompanha os campos preenchidos.,Values persist; configured required fields are enforced; completeness tracks the filled fields.,liberada,sim,- Feito cadastro completo do ouvinte todos os campos que contém no InfoAudience tem no Gestão de Ouvintes SASS.,,Alisson Delatim,2026-09-24,0,,,
