id,modulo,rota,stub,uc,rf,prioridade,tipo,titulo_pt,titulo_en,criterio_pt,criterio_en,status,testado_por,data_teste,devolucoes,ultima_devolucao,referencia,observacoes
QA-ED-01,ed-abertura,CN > Programação,Informa.CentralNegocios/View/Programacao/WinProgramacao.xaml,PR #571,CAS-100464-B1M9T9,alta,funcional,Abrir o editor pelo botão Editar áudio/vídeo da Programação,Open the editor from the Edit audio/video button in Scheduling,O botão abre o editor já com a mídia do item selecionado carregada,The button opens the editor with the selected item's media already loaded,liberada,Mateus Batalha,2026-09-09,0,,,
QA-ED-02,ed-abertura,CN > Programação,Informa.CentralNegocios/Editor/Editor.cs,PR #274,,alta,funcional,Mídia inexistente avisa e não abre o editor,Missing media warns and does not open the editor,Arquivo ausente no caminho gera aviso claro; o editor não é chamado,A file missing at the path raises a clear warning; the editor is not called,liberada,Mateus Batalha,2026-09-09,0,,,
QA-ED-03,ed-abertura,CN > Programação,Informa.CentralNegocios/Editor/Editor.cs,PR #274,,media,funcional,Mídia já carregada no editor não é reenviada,Media already loaded in the editor is not sent again,Acionar o mesmo item duas vezes não recarrega nem reinicia a edição em andamento,Triggering the same item twice neither reloads nor restarts the edit in progress,liberada,Mateus Batalha,2026-09-15,0,,,
QA-ED-04,ed-abertura,CN > Programação,Informa.CentralNegocios/Editor/Editor.cs,PR #274,,alta,dados,Dados da mídia chegam completos ao editor,Media data reaches the editor complete,"Descrição, caminho do arquivo e todos os pontos de edição existentes chegam corretos","Description, file path and every existing edit point arrive correct",liberada,Mateus Batalha,2026-09-09,0,,,
QA-ED-05,ed-abertura,CN > Programação,Informa.CentralNegocios/Editor/Editor.cs,PR #274,,media,dados,Pontos convertidos entre milissegundos e segundos sem perda,Points converted between milliseconds and seconds without loss,"O valor que sai da programação e volta do editor bate exatamente, sem arredondar","The value leaving the schedule and coming back from the editor matches exactly, with no rounding",liberada,Mateus Batalha,2026-09-15,0,,,
QA-ED-06,ed-pontos,Editor,Informa.CentralNegocios/Editor/Editor.cs,PR #274,,alta,funcional,Marcar o ponto inicial da mídia,Mark the media start point,O ponto definido no editor é o que passa a valer na execução do evento,The point set in the editor is the one that takes effect when the event plays,liberada,Mateus Batalha,2026-09-09,0,,,"Por enquanto, as marcações permanecem apenas a nivel de Programação."
QA-ED-07,ed-pontos,Editor,Informa.CentralNegocios/Editor/Editor.cs,PR #274,,alta,funcional,Marcar o ponto de fade in,Mark the fade in point,"A entrada suave acontece no tempo marcado, sem estourar o começo","The fade in happens at the marked time, without clipping the start",liberada,Mateus Batalha,2026-09-09,0,,,"Por enquanto, as marcações permanecem apenas a nivel de Programação."
QA-ED-08,ed-pontos,Editor,Informa.CentralNegocios/Editor/Editor.cs,PR #274,,alta,funcional,Marcar o ponto de introdução,Mark the intro point,O tempo de introdução informado é o usado pela locução sobre a música,The intro time entered is the one used for talking over the song,liberada,Mateus Batalha,2026-09-09,0,,,"Por enquanto, as marcações permanecem apenas a nivel de Programação."
QA-ED-09,ed-pontos,Editor,Informa.CentralNegocios/Editor/Editor.cs,PR #274,,alta,funcional,Marcar o ponto de mixagem,Mark the mix point,A entrada do próximo evento acontece no ponto de mixagem definido,The next event comes in at the mix point that was set,liberada,Mateus Batalha,2026-09-09,0,,,"Por enquanto, as marcações permanecem apenas a nivel de Programação."
QA-ED-10,ed-pontos,Editor,Informa.CentralNegocios/Editor/Editor.cs,PR #274,,alta,funcional,Marcar o ponto de fade out,Mark the fade out point,"A saída suave começa no tempo marcado, sem cortar seco","The fade out starts at the marked time, with no abrupt cut",liberada,Mateus Batalha,2026-09-09,0,,,"Por enquanto, as marcações permanecem apenas a nivel de Programação."
QA-ED-11,ed-pontos,Editor,Informa.CentralNegocios/Editor/Editor.cs,PR #274,,alta,funcional,Marcar o ponto final da mídia,Mark the media end point,"A execução encerra no ponto definido, ignorando a cauda descartada","Playback ends at the defined point, ignoring the discarded tail",liberada,Mateus Batalha,2026-09-09,0,,,"Por enquanto, as marcações permanecem apenas a nivel de Programação."
QA-ED-12,ed-pontos,CN > Programação,Informa.CentralNegocios/Editor/Editor.cs,PR #274,,alta,dados,Evento sem nenhum ponto não é marcado como editado,An event with no points is not flagged as edited,Limpar todos os pontos remove a marcação de edição em vez de deixar edição vazia,Clearing every point removes the edited flag instead of leaving an empty edit,liberada,Mateus Batalha,2026-09-09,1,2026-09-09,,
QA-ED-13,ed-refrao,Editor,Informa.CentralNegocios/Editor/Editor.cs,PR #274,,media,funcional,Marcar início e fim do refrão,Mark the chorus start and end,O trecho de refrão fica gravado no evento e disponível para quem o usa,The chorus range is stored on the event and available to whoever uses it,liberada,Mateus Batalha,2026-09-09,0,,,"Por enquanto, as marcações permanecem apenas a nivel de Programação."
