id,modulo,rota,stub,uc,rf,prioridade,tipo,titulo_pt,titulo_en,passos_pt,passos_en,criterio_pt,criterio_en,status,verificado,execucao,falha,testado_por,data_teste,devolucoes,ultima_devolucao,referencia,observacoes
QA-VT-01,vt-edicao,/vt-point,features/vt-point/timeline/vt-timeline.component.ts,VT-101,MVP 2; P1,alta,funcional,Ajustar entrada e saída da emenda direto na linha do tempo,Adjust the segue in and out points straight on the timeline,,,Arrastar os pontos muda o fim da música anterior e o começo da próxima ao redor da locução,Dragging the points changes the end of the previous song and the start of the next one around the voice track,liberada,sim,,,Mateus Batalha,2026-09-14,0,,,
QA-VT-02,vt-edicao,/vt-point,features/vt-point/timeline/vt-transition-panel.component.ts,VT-101,MVP 2; P1,alta,funcional,Ouvir o resultado da emenda antes de salvar,Hear the segue result before saving,,,O preview toca as faixas sobrepostas já com as curvas de transição aplicadas,The preview plays the overlapping tracks with the transition curves already applied,liberada,sim,,,Mateus Batalha,2026-09-14,0,,,
QA-VT-03,vt-edicao,/vt-point,features/vt-point/timeline/vt-envelope-editor.component.ts,VT-101,MVP 2; P1,alta,funcional,Desfazer e refazer devolvem os pontos originais,Undo and redo bring the original points back,,,Nada é perdido: dá para voltar ao estado anterior da emenda quantas vezes for preciso,Nothing is lost: it is possible to go back to the previous segue state as many times as needed,liberada,sim,,,Mateus Batalha,2026-09-14,0,,,
QA-VT-04,vt-edicao,/vt-point,features/vt-point/timeline/vt-transition-panel.component.ts,VT-101,MVP 2; P1,alta,interface,Digitar o tempo do ajuste em milissegundos,Type the adjustment time in milliseconds,,,"Além de arrastar, o operador informa o valor numérico e a emenda acompanha exatamente","Besides dragging, the operator types the numeric value and the segue follows it exactly",nao_implementada,sim,,,Mateus Batalha,2026-09-14,0,,,
QA-VT-05,vt-edicao,/vt-point,features/vt-point/timeline/vt-recorder-overlay.component.ts,VT-101,MVP 2; P1,media,interface,Curvas de transição visíveis no monitor durante a gravação,Transition curves visible on the monitor while recording,,,"Enquanto grava, o operador enxerga as curvas de transição e sabe como a voz entra e sai","While recording, the operator sees the transition curves and knows how the voice comes in and out",nao_implementada,sim,,,Mateus Batalha,2026-09-14,0,,,
QA-VT-06,vt-edicao,/vt-point,features/vt-point/services/vt-restored-state-builder.service.ts,VT-101,MVP 2; P1,alta,integracao,Pontos de emenda salvos junto com o voice track,Segue points saved together with the voice track,,,Os novos pontos acompanham o voice track e chegam à programação de destino,The new points travel with the voice track and reach the destination schedule,liberada,sim,,,Mateus Batalha,2026-09-14,0,,,
QA-VT-07,vt-edicao,/vt-point,core/recording-defaults/recording-defaults-dialog.component.ts,VT-102,MVP 2; P1,media,funcional,Ajustar a sensibilidade de detecção de voz na configuração global,Adjust voice detection sensitivity in the global settings,,,"O controle oferece profundidade e rampa, e a detecção muda de fato conforme o ajuste","The control offers depth and ramp, and detection actually changes with the adjustment",liberada,sim,,,Mateus Batalha,2026-09-14,0,,,
QA-VT-08,vt-edicao,/vt-point,core/recording-defaults/transition-defaults.service.ts,VT-102,MVP 2; P1,media,funcional,"Sensibilidade lembrada entre sessões, com restaurar o padrão","Sensitivity remembered across sessions, with restore default",,,O valor volta igual no próximo acesso e o botão de restaurar devolve o padrão de fábrica,The value comes back identical on the next visit and the restore button brings the factory default,liberada,sim,,,Mateus Batalha,2026-09-14,0,,,
QA-VT-09,vt-edicao,/portal,features/portal/schedule-store.service.ts,VT-103,MVP 2; P1,alta,funcional,Selecionar item na grade abre o voice track correspondente,Selecting an item on the grid opens the matching voice track,,,"O editor abre o conteúdo certo do item escolhido, sem confundir com o anterior","The editor opens the right content for the chosen item, without mixing it up with the previous one",liberada,sim,,,Mateus Batalha,2026-09-14,0,,,
QA-VT-10,vt-edicao,/vt-point,features/portal/portal-page.component.ts,VT-103,MVP 2; P1,alta,funcional,Salvar no editor reflete na grade sem recarregar a página,Saving in the editor reflects on the grid without reloading the page,,,O novo estado aparece na grade imediatamente após o salvamento,The new state shows on the grid immediately after saving,liberada,sim,,,Mateus Batalha,2026-09-14,0,,,
